#ATTRS
旨い a 2
美味しい b 0
豊か c 1
無い d 2
速い e 0
良い f 2
高い g 0
嬉しい h 2
強い i 1
少ない j 0
安い k 1
面白い l 2
多い m 0
長い n 0
欲しい o 2
難しい p 2
薄い q 0
ありがたい r 2

#INFOATTRS
1 4059 a:最高に-うまいです。;f * * * * * * * * * * * * * * * * * 1
2 4131 a:プレミアム焼酎ですね。-旨いです。;f * * * * * * * * * * * * * * * * * 1
3 4204 a:この酒だ！-うまい！！」と;f * * * * * * * * * * * * * * * * * 1
4 4205 a:購入しませんが、-一流品うまいですねエ。;f * * * * * * * * * * * * * * * * * 1
5 4062 * b:父も-おいしいと;f * * * * * * * * * * * * * * * * 1
6 4063 * b:先方より-大変美味しいと;f * * * * * * * * * * * * * * * * 1
7 4077 * b:リピート購入。-おいしいのですし、;f,孤独は-おいしいのですし、;f * * e:手配も-早いし、;f f:ポイント率も-いいし、;f * * * * * * * * * * * * 1
8 4078 * b:購入しました。-美味しいと;f * * * * * * * * * * * * * * * * 1
9 4082 * b:購入。-おいしいそうです。;f,本当に-おいしいそうです。;f * * * * * * * * * * * * * * * * 1
10 4119 * b:先方から-美味しい」と;f,香りで-美味しい」と;f * * * * * * * * * * * * * * * * 1
11 4129 * b:焼酎で-美味しいと;f * * * * g:コレでした。-高いですが、;f * * * k:1万円してたのですが、-安いですね、、;f,こちらは-安いですね、、;f * * * * * * * 1
12 4175 * b:以前に-おいしいと;f,父が-おいしいと;f,焼酎が-おいしいと;f * * * * * * * * * * * * * * * * 1
13 4182 * b:絶対に-美味しいです。なので;f * * * * * * * * * * * * * * * * 1
14 4183 * b:購入しました。-おいしいです。;f * * * * * * * * * * * * * * * * 1
15 4191 * b:焼酎だけど-美味しいんだと;f,上品で-美味しいんだと;f * * * * * * * * * * * * * * * * 1
16 4236 * b:孤独は-おいしいですね。;f * * * * * * * * * * * * * * * * 1
17 4251 * b:本当に-美味しいです。;f * * * f:麦も-良いですね。;f * * * * * * * * * * * * 1
18 4265 * b:純粋に-美味しいと;f * * * * * * * * * * * * * * * * 1
19 4286 * b:私は-美味しいそうです。;f * * * f:プレゼントに-良いと;f * * * * * * * * * * * * 1
20 4325 * b:ほど-おいしいとは;f * * * * g:定価より-高く;f * * * * * * * * * * * 0
