#ATTRS
良い a 2
高い b 0
無い c 2
速い d 0
安い e 1
遠い f 0
嬉しい g 2
美味しい h 0
かっこいい i 2
臭 j 0
重い k 0
少ない l 0
多い m 0
旨い n 2
甘い o 0
薄い p 0
辛い q 2
ありがたい r 2
柔らかい s 0
強い t 1
欲しい u 2
すごい v 2

#INFOATTRS
1 3680 a:評判は-良かったです！;f * * * * * * * * * * * * * * * * * * * * * 1
2 3699 a:咽喉越しが-良いと;f * * * * * * * * * * * * * * * * * * * * * 1
3 3738 a:本当に-良い;f * * * * * * * * * * * * * * * * * * * * * 1
4 3739 a:購入出来て-良かったです。;f * * * * * * * * * * * * * * * * * * * * * 1
5 3745 a:購入でき-よかったです。;f * * * * * * * * * * * * * * * * * * * * * 1
6 3746 a:プレゼントしました、-良く、;f,のど越しが-良く、;f * * * * * * * * * * * * * * * * * * * * * 1
7 3753 a:購入して-良かったです！;f * * * * * * * * * * * * * * * * * * * * * 1
8 3773 a:ゲットできて-よかった。;f * * * * * * * * * * * * * * * * * * * * * 1
9 3777 a:購入出来て-良かった。;f * * * * * * * * * * * * * * * * * * * * * 1
10 3787 a:納得です。-良いですね。;f b:定価より-高くなっていますが;f * * e:水のようにのみ-やすいのが;f * * * * * * * * * * * * * * * * * 1
11 3803 a:プレゼント。-よかった♪;f * * * * * * * * * * * * * * * * * * * * * 1
12 3818 a:購入できて-良かったです。;f * * * * * * * * * * * * * * * * * * * * * 1
13 3826 a:女性も-良いと;f * * * * * * * * * * * * * * * * * * * * * 1
14 3828 a:発送で-良かったです。;f * * * * * * * * * * * * * * * * * * * * * 1
15 3846 a:定番通りで、-よかったです。;f * * * * * * * * * * * * * * * * * * * * * 1
16 3951 a:おいてくれました。-良く、;f,黒よりも-良く、;f,飲み口が-良く、;f * c:機会が-ないのですが、;f,くせが-ない;f * * * * * * * * * * * * * * * * * * * 1
17 3978 a:大変対応の-良い;f * * * * * * * * * * * * * * * * * * * * * 1
18 3982 a:購入できて-よかったです。;f * * * * * * * * * * * * * * * * * * * * * 1
19 3990 a:友人に-良かったです。;f b:購入。-高いですが;f * * * * * * * * * * * * * * * * * * * * 1
20 3991 a:手土産にも-いいかも;f * * * * * * h:のみやすくて-美味しいです;f * * * * * * * * * * * * * * 1
21 4007 a:晩酌が-いいっす。;f * * * * * * * * * * * * * * * * * * * * * 1
22 4031 a:方が-良いと;f * * * e:商品届き次第追加レビュー記載します。-安くなったようですね。;f,---------------------追記---------------------価格が-安くなったようですね。;n * * * * * * * * * * * * * * * * * 0
23 4035 a:お返しに、-よかったです☆ でも、;f * * * e:方が-安かったら…と;f * * * * * * * * * * * * * * * * * 0
24 4042 a:お願いしたのですが、-よかったです。;f * * * * * * * * * * * * * * * * * * * * * 0
25 3682 * b:値段が-高くなったよ。;n * * * * * * * * * * * * * * * * * * * * 1
26 3684 * b:お店より-高かったですが、;f c:茜霧島が-なかったので。;f * * * * * * * * * * * * * * * * * * * 1
27 3705 * b:送料が-高かったので;f * * * * * * * * * * * * * * * * * * * * 1
