#ATTRS
良い a 2
すごい b 2
美味しい c 0
高い d 0
無い e 2
旨い f 2
難しい g 2
欲しい h 2
甘い i 0
安い j 1
強い k 1
多い l 0
臭 m 0
弱い n 1
薄い o 0
速い p 0
嬉しい q 2
ありがたい r 2
上手く s 2
深い t 0
楽しい u 2
珍しい v 1
少ない w 0
遅い x 0
新しい y 0
若い z 0
まろやか A 2
もったいない B 1
大きい C 0
かっこいい D 2
易い E 2
古い F 0
重い G 0
遠い H 0
辛い I 2
柔らかい J 0
悪い K 2
優しい L 2
細く M 0
明るい N 0
悲しい O 2
近い P 0

#INFOATTRS
1 2 a:芋は-いいです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
2 63 a:購入して-良かったです！; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
3 64 a:感想は、-良かったです。;,ことです。-良かったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
4 65 a:購入できて-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
5 88 a:味も-良いし、; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
6 93 a:予約注文しました。-良いので、;,口当たりが-良いので、;f * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
7 105 a:検索していたら-良かったです;,こちらが-良かったです; * * * e:地域では-なくて;,在庫が-なくて; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
8 131 a:口当たりが-いいです。;p * * d:値段が-高いのが;n * * * * i:注文しました。-甘めで;f * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
9 153 a:福岡空港では、-いいようです。;,お湯割りが-いいようです。;,赤霧島は-いいですね。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
10 164 a:大変喜んでくれて-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
